variable,samples,response,method,test statistic,runtime,p.value,false.negative.01,false.negative.03,false.negative.05,false.negative.07,false.negative.1,false.positive.01,false.positive.03,false.positive.05,false.positive.07,false.positive.1
env1,900,UL,CQO,1.40864892848994,667.577,0,0,0,0,0,0,0,0,0,0,0
env2,900,UL,CQO,1.408644779619594,667.577,0.1485148514851485,1,1,1,1,1,0,0,0,0,0
Noise,900,UL,CQO,3.2416052042033724e-4,667.577,0.9900990099009901,0,0,0,0,0,0,0,0,0,0
Noise,900,UL,CQO,0.003432877793188182,667.577,0.9900990099009901,0,0,0,0,0,0,0,0,0,0
env1,900,UL,CQO,4.002283675092477,532.2879999999986,0,0,0,0,0,0,0,0,0,0,0
env2,900,UL,CQO,0.7924979671396541,532.2879999999986,0.9900990099009901,1,1,1,1,1,0,0,0,0,0
Noise,900,UL,CQO,0.002608670498396361,532.2879999999986,0.9900990099009901,0,0,0,0,0,0,0,0,0,0
Noise,900,UL,CQO,0.004203392449246559,532.2879999999986,0.9900990099009901,0,0,0,0,0,0,0,0,0,0
env1,900,UL,CQO,4.012798680729736,422.3130000000019,0,0,0,0,0,0,0,0,0,0,0
env2,900,UL,CQO,0.7094398572566163,422.3130000000019,0.9900990099009901,1,1,1,1,1,0,0,0,0,0
Noise,900,UL,CQO,0.007824498696277478,422.3130000000019,0.9900990099009901,0,0,0,0,0,0,0,0,0,0
Noise,900,UL,CQO,0.005286727648128381,422.3130000000019,0.9900990099009901,0,0,0,0,0,0,0,0,0,0
env1,900,UL,CQO,1.2217760927638244,1782.6229999999996,0.039603960396039604,1,1,0,0,0,0,0,0,0,0
env2,900,UL,CQO,1.2217139836262672,1782.6229999999996,0.40594059405940597,1,1,1,1,1,0,0,0,0,0
Noise,900,UL,CQO,0.012310586760478885,1782.6229999999996,0.9900990099009901,0,0,0,0,0,0,0,0,0,0
Noise,900,UL,CQO,4.810863444533489e-4,1782.6229999999996,0.9900990099009901,0,0,0,0,0,0,0,0,0,0
env1,900,UL,CQO,4.013088789509116,411.43599999999424,0,0,0,0,0,0,0,0,0,0,0
env2,900,UL,CQO,0.7087074751938568,411.43599999999424,0.9900990099009901,1,1,1,1,1,0,0,0,0,0
Noise,900,UL,CQO,0.0036949628675808288,411.43599999999424,0.9900990099009901,0,0,0,0,0,0,0,0,0,0
Noise,900,UL,CQO,0.0076513042563095875,411.43599999999424,0.9900990099009901,0,0,0,0,0,0,0,0,0,0
env1,100,UB,CQO,1.3687965932005772,104.70000000000005,0.0297029702970297,1,0,0,0,0,0,0,0,0,0
